ID,Tipo,Ubicación,Dirección,Ambientes,Precio,Moneda,Superficie,Descripción,Fotos,Disponible
PUY-001,Venta,Villa Urquiza,Av. Triunvirato 4500,3,95000,USD,75,Departamento luminoso con balcón corrido. Cocina separada. Lavadero independiente. A 2 cuadras del subte B.,,Sí
PUY-002,Alquiler,Belgrano,Cabildo 2200,2,450000,ARS,55,Monoambiente divisible con amenities. Pileta SUM y gym. Ideal jóvenes profesionales.,,Sí
PUY-003,Venta,Palermo,Honduras 5800,4,185000,USD,120,PH reciclado con terraza propia de 40m². Parrilla y jardín. Sin expensas.,,Sí
PUY-004,Alquiler,Caballito,Av. Rivadavia 5100,3,650000,ARS,68,Departamento con cochera incluida. Muy buena vista. Edificio con seguridad 24hs.,,Sí
PUY-005,Venta,Núñez,Av. del Libertador 7800,2,78000,USD,48,Semipiso con vista al río. Edificio premium. 2 cocheras.,,Sí
PUY-006,Alquiler,Villa Crespo,Thames 600,1,320000,ARS,35,Monoambiente a estrenar. Luminoso. Balcón. Laundry en el edificio.,,Sí
PUY-007,Venta,Recoleta,Av. Alvear 1500,5,320000,USD,180,Piso de categoría. 3 dormitorios en suite. Dependencia de servicio. Vista al Cementerio de Recoleta.,,Sí
PUY-008,Alquiler,Palermo,Gorriti 4200,2,580000,ARS,52,Loft estilo industrial. Doble altura. Ideal home office. Palermo Soho.,,Sí
PUY-009,Venta,Flores,Av. Directorio 3200,3,62000,USD,70,Departamento impecable. Cocina y lavadero independientes. Balcón al frente. Muy soleado.,,Sí
PUY-010,Alquiler,Belgrano,Juramento 2800,4,950000,ARS,95,4 ambientes con dependencia. Balcón terraza. Cochera. Ideal familia.,,No
